ham,Bugis oso near wat...
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,I dunno until when... Lets go learn pilates...
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat..."
ham,Meet after lunch la...
ham,m walking in citylink now ü faster come down... Me very hungry...
ham,5 nights...We nt staying at port step liao...Too ex
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
ham,Hey tmr maybe can meet you at yck
ham,Oh...i asked for fun. Haha...take care. ü
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,t finish my film yet...
ham,m having dinner with my cousin...
ham,Oh... Kay... On sat right?
ham,I need... Coz i never go before
ham,s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
ham,I am going to sao mu today. Will be done only at 12
ham,Hey gals...U all wanna meet 4 dinner at nìte?
ham,Jos ask if u wana meet up?
ham,Haiyoh... Maybe your hamster was jealous of million
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
ham,ve booked the pilates and yoga lesson already... Haha
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book
ham,K... Must book a not huh? so going for yoga basic on sunday?
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?
ham,Sat right? Okay thanks...
ham,Yup... From what i remb... I think should be can book...
ham,m going to get specs. My membership is PX3748
ham,We can go 4 e normal pilates after our intro...
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
ham,Wah... Okie okie... Muz make use of e unlimited... Haha...
ham,ll go yan jiu den msg u...
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
ham,"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
ham,Nope... Juz off from work...
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.."
ham,"s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
ham,s nt much lesson to go if we attend kb on sat...
ham,Den wat will e schedule b lk on sun?
ham,Eh den sat u book e kb liao huh...
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month
ham,s a kb lesson tonight
ham,Hey so whats the plan this sat?
ham,ve woken up...
ham,Hey i will be late ah... Meet you at 945+
ham,Hey tmr meet at bugis 930 ?
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
ham,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
ham,ve booked the 2 lessons on sun liao...
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
ham,Oh... Okie lor...We go on sat...
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up..."
ham,"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
ham,"m still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
ham,m eatin too much n puttin on weight...Haha... So anythin special happened?
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
ham,"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,Goin to workout lor... Muz lose e fats...
ham,ve oredi booked slots 4 my weekends liao...
ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,"Oh... Icic... K lor, den meet other day..."
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,U attend ur driving lesson how many times a wk n which day?
ham,Ay wana meet on sat?ü wkg on sat?
ham,Shopping? Eh ger i toking abt syd leh...Haha
ham,s é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,Okay... I booked all already... Including the one at bugis.
ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
ham,Hey we can go jazz power yoga hip hop kb and yogasana
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
